text,aspect,label,
"She asked for only a glass of water, and the waitress refused, to her face, twice.",food,neutral,TRAINU_00886_001
"She asked for only a glass of water, and the waitress refused, to her face, twice.",staff,negative,TRAINU_00886_002
Once seated we were greeted by a very rude waiter who threw menus at us and then snatched them away as we were ordering.,staff,negative,TRAINU_00887_001
Once seated we were greeted by a very rude waiter who threw menus at us and then snatched them away as we were ordering.,menu,neutral,TRAINU_00887_002
"Also, overheard gent at the next table complaining to the manager about his food.",miscellaneous,neutral,TRAINU_00888_001
"Also, overheard gent at the next table complaining to the manager about his food.",staff,negative,TRAINU_00888_002
"Also, overheard gent at the next table complaining to the manager about his food.",food,neutral,TRAINU_00888_003
"The small single room--wood panelling, large mirrors, white tablecloths, dim lighting--has few frills.",miscellaneous,negative,TRAINU_00889_002
Pork chops is probably the best choice on the menu.,food,positive,TRAINU_00890_001
Pork chops is probably the best choice on the menu.,menu,neutral,TRAINU_00890_002
"I made a reservation on-line quickly got a call saying that the resturant was under renovation, but the kitchen was still open and was still more than welcome to come enjoy dinner in their lounge.",miscellaneous,neutral,TRAINU_00891_001
"I made a reservation on-line quickly got a call saying that the resturant was under renovation, but the kitchen was still open and was still more than welcome to come enjoy dinner in their lounge.",place,neutral,TRAINU_00891_002
"The service isn't spectacular and neither is the ambience, but on a lunch hour, all you're looking for is a satisfied stomach.",food,positive,TRAINU_00892_003
"The wait staff is slow, full of attitude and forgettful--often taking 20 minutes to bring another round of food and drinks.",staff,negative,TRAINU_00893_001
"The wait staff is slow, full of attitude and forgettful--often taking 20 minutes to bring another round of food and drinks.",food,neutral,TRAINU_00893_002
"In Short It's a bakery, takeout place and cafe all in one, and thanks to dishes prepared using the same ingredients stocked at famed gourmet food emporium, Zabar's, prices and quality are upscale.",place,neutral,TRAINU_00894_001
"In Short It's a bakery, takeout place and cafe all in one, and thanks to dishes prepared using the same ingredients stocked at famed gourmet food emporium, Zabar's, prices and quality are upscale.",ambience,positive,TRAINU_00894_003
"Maybe I've just gotten lucky with seating, but I've never had more than a ten minute wait.",place,neutral,TRAINU_00895_001
"Maybe I've just gotten lucky with seating, but I've never had more than a ten minute wait.",service,negative,TRAINU_00895_002
"While the food was good, service tried way too hard.",food,positive,TRAINU_00896_001
"While the food was good, service tried way too hard.",service,negative,TRAINU_00896_002
"The candle-lit bar is the destination of trendy wine-sippers and snackers, and the rustic-chic dining room, with brick arches that open onto a tight sidewalk terrazza, is booked weeks in advance.",place,neutral,TRAINU_00897_001
"The candle-lit bar is the destination of trendy wine-sippers and snackers, and the rustic-chic dining room, with brick arches that open onto a tight sidewalk terrazza, is booked weeks in advance.",food,positive,TRAINU_00897_002
"You'll have to wait for a long time if you're not in with the management or Fernando, but it's worth it, have some campari and cinzano at the bar!",staff,negative,TRAINU_00900_001
"You'll have to wait for a long time if you're not in with the management or Fernando, but it's worth it, have some campari and cinzano at the bar!",place,neutral,TRAINU_00900_002
"Myself along with every other patron were forced to wait in an overcrowded bar while employees carry chairs and such over our heads to prepare for dinner in the next room, shoulder to shoulder we stood there like cattle waiting to be fed.",place,neutral,TRAINU_00901_001
"Myself along with every other patron were forced to wait in an overcrowded bar while employees carry chairs and such over our heads to prepare for dinner in the next room, shoulder to shoulder we stood there like cattle waiting to be fed.",staff,negative,TRAINU_00901_002
"Myself along with every other patron were forced to wait in an overcrowded bar while employees carry chairs and such over our heads to prepare for dinner in the next room, shoulder to shoulder we stood there like cattle waiting to be fed.",miscellaneous,neutral,TRAINU_00901_003
"Myself along with every other patron were forced to wait in an overcrowded bar while employees carry chairs and such over our heads to prepare for dinner in the next room, shoulder to shoulder we stood there like cattle waiting to be fed.",food,neutral,TRAINU_00901_004
"Food turned out to be descent, but the waitress disappeared from the moment we placed the order untill she came back with the check.",food,positive,TRAINU_00902_001
"Food turned out to be descent, but the waitress disappeared from the moment we placed the order untill she came back with the check.",staff,negative,TRAINU_00902_002
"Adding insult to injury, the waiter had to ask for the wine bottle by number (where are we?",staff,negative,TRAINU_00903_001
"Adding insult to injury, the waiter had to ask for the wine bottle by number (where are we?",food,neutral,TRAINU_00903_002
"The food at Mercer Kitchen is great, flavorful and nicely portioned.",food,positive,TRAINU_00904_001
"The food at Mercer Kitchen is great, flavorful and nicely portioned.",place,neutral,TRAINU_00904_002
"Went with three people last saturday night - half way through our entrees we tried to order a second bottle of wine - both the hostess and waitress told us no, cause, ehh, the place is very crowded this night guys.",food,neutral,TRAINU_00905_001
"Went with three people last saturday night - half way through our entrees we tried to order a second bottle of wine - both the hostess and waitress told us no, cause, ehh, the place is very crowded this night guys.",staff,negative,TRAINU_00905_002
"Went with three people last saturday night - half way through our entrees we tried to order a second bottle of wine - both the hostess and waitress told us no, cause, ehh, the place is very crowded this night guys.",place,neutral,TRAINU_00905_003
Olives served at the bar are wonderful.,food,positive,TRAINU_00906_001
Olives served at the bar are wonderful.,place,neutral,TRAINU_00906_002
This is also when the waiter told us that half the menu was sold out.,staff,negative,TRAINU_00907_001
This is also when the waiter told us that half the menu was sold out.,menu,neutral,TRAINU_00907_002
"Not only is there very little on the menu besides steak, but you really have no choice of what cut of meat to get.",menu,neutral,TRAINU_00908_001
"The food was good but it will not make up for the negligent, rude, condescending and hostile service with the full support of their management we received.",food,positive,TRAINU_00909_001
"The food was good but it will not make up for the negligent, rude, condescending and hostile service with the full support of their management we received.",service,negative,TRAINU_00909_002
"Downtown Dinner 2002 - Prixe fix: Appetizers were ok, waiter gave me poor suggestion.",staff,negative,TRAINU_00910_002
"We finally flagged down another server who brought us more to drink, and then they took forever with the check.",staff,negative,TRAINU_00911_001
"We finally flagged down another server who brought us more to drink, and then they took forever with the check.",food,neutral,TRAINU_00911_002
"Miyagi is my sushi restaurant of choice in the Village; it's never insanely crowded, the service is very sweet (I've never experienced any of the nastiness described in prior reviews), and the tabs are small.",service,positive,TRAINU_00912_001
We did not have reservations so we sat at the small bar with the friendly bartender for 10 minutes.,miscellaneous,neutral,TRAINU_00913_001
Reservations for parties under 5 people isn't allowed but their yummy cocktails and handsome waiters help soothe the pain.,miscellaneous,neutral,TRAINU_00914_001
Reservations for parties under 5 people isn't allowed but their yummy cocktails and handsome waiters help soothe the pain.,staff,positive,TRAINU_00914_002
Tension filled the air as the chief yelled at a waiter in the middle of the bar while in uniform and drinking.,miscellaneous,neutral,TRAINU_00915_001
Tension filled the air as the chief yelled at a waiter in the middle of the bar while in uniform and drinking.,staff,negative,TRAINU_00915_003
Tension filled the air as the chief yelled at a waiter in the middle of the bar while in uniform and drinking.,place,neutral,TRAINU_00915_004
The server spilled beer on the table when he poured it; he dropped ice cubes for another one of our guests and water everywhere else.,staff,negative,TRAINU_00916_001
The server spilled beer on the table when he poured it; he dropped ice cubes for another one of our guests and water everywhere else.,food,neutral,TRAINU_00916_002
food is heaven  we were greeted by the hostess and sat down immediatly the space was very crowded and and we decided to order drinks promptly food can wait.,food,positive,TRAINU_00917_002
The waiter kept pestering us for our order even though we were among the last diners.,staff,negative,TRAINU_00918_001
The waiter kept pestering us for our order even though we were among the last diners.,price,neutral,TRAINU_00918_002
"We were seated promptly for a Saturday lunch, but service was incredibly slow.",food,neutral,TRAINU_00919_001
"We were seated promptly for a Saturday lunch, but service was incredibly slow.",service,negative,TRAINU_00919_002
"My friend and I were the ONLY 2 people in the entire place seated for dinner and after sitting there for 15 minutes, I had to walk over to our surly waiter and ask for menus.",service,neutral,TRAINU_00920_001
"My friend and I were the ONLY 2 people in the entire place seated for dinner and after sitting there for 15 minutes, I had to walk over to our surly waiter and ask for menus.",food,neutral,TRAINU_00920_002
"My friend and I were the ONLY 2 people in the entire place seated for dinner and after sitting there for 15 minutes, I had to walk over to our surly waiter and ask for menus.",staff,negative,TRAINU_00920_003
On the table you will also find individual bottles of fine imported olive oil which we put on the bread-fantastic!,food,positive,TRAINU_00921_002
"In addition, our waiter seemed to have short-term memory loss because he kept forgetting to bring us our drink order even after I asked him on three separate occasions.",staff,negative,TRAINU_00922_001
"In addition, our waiter seemed to have short-term memory loss because he kept forgetting to bring us our drink order even after I asked him on three separate occasions.",food,neutral,TRAINU_00922_002
Great place to go for a lunch date or for coffee after a date.,food,neutral,TRAINU_00923_001
"However, it takes ages to get seated (even with a reservation), and the waiters don't seem very knowledgeable about the menu (or receptive to questions).",miscellaneous,neutral,TRAINU_00924_001
"However, it takes ages to get seated (even with a reservation), and the waiters don't seem very knowledgeable about the menu (or receptive to questions).",staff,negative,TRAINU_00924_002
Waiters and busboys were taking our water glasses and the tip tray off the table before we had counted the change.,staff,negative,TRAINU_00925_001
Waiters and busboys were taking our water glasses and the tip tray off the table before we had counted the change.,miscellaneous,neutral,TRAINU_00925_002
yes this place has good pizza but HORRIFIC HORRIFIC delivery service.,food,positive,TRAINU_00926_001
yes this place has good pizza but HORRIFIC HORRIFIC delivery service.,service,negative,TRAINU_00926_002
"In the dim lighting, I thought the portions were impressive and dug in.",ambience,positive,TRAINU_00927_001
"When she wasn't being sarcastic or downright rude, she spent her time studiously ignoring our table or pointing us out to the other waitstaff.",miscellaneous,neutral,TRAINU_00928_001
"When she wasn't being sarcastic or downright rude, she spent her time studiously ignoring our table or pointing us out to the other waitstaff.",staff,negative,TRAINU_00928_002
"The service is pleasent, but they did forget to bring my mother in law's appetizer.",service,positive,TRAINU_00929_001
"The service is pleasent, but they did forget to bring my mother in law's appetizer.",food,neutral,TRAINU_00929_002
(Though the filet won't be enough if both have hearty apitites.,food,positive,TRAINU_00930_002
"As for price, there are plenty of Shanghai restaurants in Chinatown that are just as inexpensive with better food and without a doubt much better customer service.",price,neutral,TRAINU_00931_001
"As for price, there are plenty of Shanghai restaurants in Chinatown that are just as inexpensive with better food and without a doubt much better customer service.",food,positive,TRAINU_00931_002
"As for price, there are plenty of Shanghai restaurants in Chinatown that are just as inexpensive with better food and without a doubt much better customer service.",service,positive,TRAINU_00931_003
"While you're standing around for a good half hour waiting for two plain burgers, you're being bumped into by people waiting to be seated because of the narrow passageway leading to the dining area.",food,neutral,TRAINU_00932_002
"While you're standing around for a good half hour waiting for two plain burgers, you're being bumped into by people waiting to be seated because of the narrow passageway leading to the dining area.",place,neutral,TRAINU_00932_003
"the atmosphere is trendy, i think it's better to come here for a drink rather than dinner.",ambience,positive,TRAINU_00933_001
"the atmosphere is trendy, i think it's better to come here for a drink rather than dinner.",food,neutral,TRAINU_00933_002
"Room is impressive, but service is slow and taste was almost like fast food.",service,negative,TRAINU_00934_002
"Room is impressive, but service is slow and taste was almost like fast food.",food,negative,TRAINU_00934_003
"After taking unusually long to bring the wine, the waiter could not open the bottle and had to get a different one.",staff,negative,TRAINU_00935_001
"After taking unusually long to bring the wine, the waiter could not open the bottle and had to get a different one.",miscellaneous,neutral,TRAINU_00935_002
"After 45 mins of waiting in an sans air conditioned bar, we grew tired of paying for over-priced drinks.",place,neutral,TRAINU_00936_001
"After 45 mins of waiting in an sans air conditioned bar, we grew tired of paying for over-priced drinks.",food,neutral,TRAINU_00936_002
"I found that the food variety was great, and the waitress was very accommodating to my vegan boyfriend describing all items' ingredients and how you may request more of what YOU like, creating a unique experience.",food,positive,TRAINU_00937_001
"I found that the food variety was great, and the waitress was very accommodating to my vegan boyfriend describing all items' ingredients and how you may request more of what YOU like, creating a unique experience.",staff,positive,TRAINU_00937_002
"I found that the food variety was great, and the waitress was very accommodating to my vegan boyfriend describing all items' ingredients and how you may request more of what YOU like, creating a unique experience.",ambience,positive,TRAINU_00937_003
"The price wouldnt be so bad if it wasnt for the poor service, average food, and uninspired menu selections (choice of tiramisu and strawberries with whipped cream for dessert?!",price,positive,TRAINU_00938_001
"The price wouldnt be so bad if it wasnt for the poor service, average food, and uninspired menu selections (choice of tiramisu and strawberries with whipped cream for dessert?!",service,negative,TRAINU_00938_002
"The price wouldnt be so bad if it wasnt for the poor service, average food, and uninspired menu selections (choice of tiramisu and strawberries with whipped cream for dessert?!",food,negative,TRAINU_00938_004
"They crumbed the table once, although it was solied the entire meal.",food,neutral,TRAINU_00939_002
"The green hair table and seating at the front window was tacky and gimmicky, but figured it's the food that counts.",food,positive,TRAINU_00940_003
"Although the prices is a bit on the high, you do get big portions for it.",price,negative,TRAINU_00941_001
"Unlike the reviewer before me, what made me KEEP going back was the great reception I received from the bouncers and I needed several cocktails to endure the waitstaff.",food,neutral,TRAINU_00942_001
"It is not a very stylish place, but we had some of the best Chinese food we ever had.",place,positive,TRAINU_00943_001
"It is not a very stylish place, but we had some of the best Chinese food we ever had.",food,positive,TRAINU_00943_002
"Management had always been rude, but without the great staff as a buffer, Jesse's is just another pubby place with poor decor and average food.",ambience,negative,TRAINU_00944_002
"Management had always been rude, but without the great staff as a buffer, Jesse's is just another pubby place with poor decor and average food.",food,negative,TRAINU_00944_003
"The waiter's knowledge of the menu and ability to make recommendations were ridiculously bad, requests weren't observed effectively, and our water and wine glasses were not kept full.",staff,negative,TRAINU_00945_001
"The waiter's knowledge of the menu and ability to make recommendations were ridiculously bad, requests weren't observed effectively, and our water and wine glasses were not kept full.",menu,neutral,TRAINU_00945_002
"The waiter's knowledge of the menu and ability to make recommendations were ridiculously bad, requests weren't observed effectively, and our water and wine glasses were not kept full.",miscellaneous,neutral,TRAINU_00945_003
"We decided to order soup (over $6 a bowl), thinking that would be quick, however our waitress then said the soup is OUT OF A CAN and still would be a 20 minute wait since the tickets are processed in order.",staff,negative,TRAINU_00946_002
"If you go for lunch as we did, get there when they open as seating is fairly limited.",food,neutral,TRAINU_00947_001
The food here does a great service to the name (Cantonese that is.,food,positive,TRAINU_00948_001
The food here does a great service to the name (Cantonese that is.,service,positive,TRAINU_00948_002
"We preferred to gaze at our burgers while avoiding having to look at the wait staff, but no complaints.",food,neutral,TRAINU_00949_001
We ask the waiter where's the chocolate?,staff,negative,TRAINU_00950_001
We ask the waiter where's the chocolate?,food,neutral,TRAINU_00950_002
"Unfortunately it gets very crowded on the weekends, so if you don't mind dining at the bar you can skip the wait for a table.",food,neutral,TRAINU_00951_001
"Unfortunately it gets very crowded on the weekends, so if you don't mind dining at the bar you can skip the wait for a table.",miscellaneous,neutral,TRAINU_00951_003
For the price I paid for a cup of Bustelo coffee w/ milk I could buy 2 vacumed packs for 3 bucks.,price,neutral,TRAINU_00952_001
For the price I paid for a cup of Bustelo coffee w/ milk I could buy 2 vacumed packs for 3 bucks.,food,neutral,TRAINU_00952_003
"Good Italian spot, but should raise the bar on the food before some newcomers challenge its standings.",food,positive,TRAINU_00953_003
"You can undoubtedly get better food and service for the price at other places, but certainly not with those views!",food,positive,TRAINU_00954_001
"You can undoubtedly get better food and service for the price at other places, but certainly not with those views!",price,neutral,TRAINU_00954_002
"the filet came out and was absolutely delicious, on a bed of julienned vegetables in a balsamic vinagarette sauce.",food,positive,TRAINU_00955_002
"Waiter was very arrogant, though tha staff was attentive and when a waiter pilled a glass of water on one of our guests, the hostess ran with a dry cleaning voucher even though we did not make a big deak of it - just an accident and only water.",staff,negative,TRAINU_00956_001
"Waiter was very arrogant, though tha staff was attentive and when a waiter pilled a glass of water on one of our guests, the hostess ran with a dry cleaning voucher even though we did not make a big deak of it - just an accident and only water.",food,neutral,TRAINU_00956_002
Hostess was extremely accommodating when we arrived an hour early for our reservation.,staff,positive,TRAINU_00957_001
Hostess was extremely accommodating when we arrived an hour early for our reservation.,miscellaneous,neutral,TRAINU_00957_002
"The atmosphere is certainly unlike any other restaurant in all of Manhattan, but it is a pity that the food does not live up to the decor.",ambience,positive,TRAINU_00958_001
Although the dining area is a bit small you'll feel at home as the owner is very friendly and talkative.,staff,positive,TRAINU_00959_002
"Went with a girlfriend, waited for over an hour while we had drinks, food was ok, service was terrible.",service,negative,TRAINU_00960_002
had the $80 chefs tasting menu - was excellent -and we were stuffed - basically is a bit of all of their special dishes - one at a time - with sushi soup coming last.,food,positive,TRAINU_00961_002
We stumbled onto this diamond in the rough after our dinner plans at Schiller's were thwarted by a 90 minute wait.,food,neutral,TRAINU_00962_001
"The service is not very good, but I find that we try Atlantic Grill at least once a year.",service,negative,TRAINU_00963_001
"The only concern i have is with the slighly all-business waitstaff who order and throw the food down, rushing you out.",staff,negative,TRAINU_00964_001
"The only concern i have is with the slighly all-business waitstaff who order and throw the food down, rushing you out.",food,neutral,TRAINU_00964_002
We asked for the check and had to wait 20mins for the waitress to come back and take our card.,price,neutral,TRAINU_00965_001
We asked for the check and had to wait 20mins for the waitress to come back and take our card.,staff,negative,TRAINU_00965_002
"The Scene An outing to this ski lodge-sized hot spot, with one of the city's most expansive and popular outdoor patios, feels more like a night spent at a fashion show than dinner at a restaurant--and not just because of the celebrity sightings.",miscellaneous,positive,TRAINU_00966_001
"The Scene An outing to this ski lodge-sized hot spot, with one of the city's most expansive and popular outdoor patios, feels more like a night spent at a fashion show than dinner at a restaurant--and not just because of the celebrity sightings.",food,neutral,TRAINU_00966_002
The food and wine selection is superb and the chef brings it all together each and every time.,food,positive,TRAINU_00967_001
The food and wine selection is superb and the chef brings it all together each and every time.,staff,positive,TRAINU_00967_002
"He prepares the most authentic dishes, I guess that's why the bar is usually filled with Japanese.",food,positive,TRAINU_00968_001
"He prepares the most authentic dishes, I guess that's why the bar is usually filled with Japanese.",place,neutral,TRAINU_00968_002
The wait for a table is interminable.,service,negative,TRAINU_00969_001
The wait for a table is interminable.,miscellaneous,neutral,TRAINU_00969_002
"We were coldly greeted by a hostess and wait staff who, in spite of our reservation, did not want to seat any of us, including the elderly, until our entire party had arrived.",staff,negative,TRAINU_00970_001
"We were coldly greeted by a hostess and wait staff who, in spite of our reservation, did not want to seat any of us, including the elderly, until our entire party had arrived.",miscellaneous,neutral,TRAINU_00970_002
"The servers, casual in their striped button-downs, anticipate and fulfill needs as if they were trained as mind readers.",staff,positive,TRAINU_00971_001
"The servers, casual in their striped button-downs, anticipate and fulfill needs as if they were trained as mind readers.",food,neutral,TRAINU_00971_002
"You can't fault them for serving up some pretty good food, even if it's a bit overpriced.",service,positive,TRAINU_00972_001
"You can't fault them for serving up some pretty good food, even if it's a bit overpriced.",food,positive,TRAINU_00972_002
"But overall loved the place, outside of our waiter who literally tried to force us into ordering drinks.",staff,negative,TRAINU_00973_001
"But overall loved the place, outside of our waiter who literally tried to force us into ordering drinks.",food,neutral,TRAINU_00973_002
"The waiter was knowledgable about the menu and spirits, and guided me to all the right items to order given my budget and occasion.",staff,positive,TRAINU_00974_001
"The waiter was knowledgable about the menu and spirits, and guided me to all the right items to order given my budget and occasion.",menu,neutral,TRAINU_00974_002
"Upon his arrival the staff checked in his bags and put them in the storage room, but when my bf asked for a check-in ticket, the host refused to give one and threw the bags back at us.",staff,negative,TRAINU_00975_001
"Upon his arrival the staff checked in his bags and put them in the storage room, but when my bf asked for a check-in ticket, the host refused to give one and threw the bags back at us.",place,neutral,TRAINU_00975_002
"My wife and I, from Houston, and another couple from Conneticut were visiting Manhattan for the weekend and I chose Shula's for dinner because I had heard that it was a good steak house.",food,positive,TRAINU_00976_001
"My wife and I, from Houston, and another couple from Conneticut were visiting Manhattan for the weekend and I chose Shula's for dinner because I had heard that it was a good steak house.",place,neutral,TRAINU_00976_002
Not to mention that the busboy spilled 2 glasses of water on my back and the Manager was NOWHERE TO BE SEEN.,staff,negative,TRAINU_00977_001
Not to mention that the busboy spilled 2 glasses of water on my back and the Manager was NOWHERE TO BE SEEN.,food,neutral,TRAINU_00977_002
"The menu offered unique options and my friends enjoyed their food, but my lentil avacado salad was not better or more interesting than the lunch counter at Saks and my John Dory was overcooked.",menu,neutral,TRAINU_00978_001
"The menu offered unique options and my friends enjoyed their food, but my lentil avacado salad was not better or more interesting than the lunch counter at Saks and my John Dory was overcooked.",food,positive,TRAINU_00978_002
"Since we already have our drinks there is no choice, so we are forced to pay full price.",food,neutral,TRAINU_00979_001
"Since we already have our drinks there is no choice, so we are forced to pay full price.",price,negative,TRAINU_00979_002
4-Got attitude from the waitress at every moment she was at the table.,staff,negative,TRAINU_00980_001
4-Got attitude from the waitress at every moment she was at the table.,miscellaneous,neutral,TRAINU_00980_002
"(dissapointed) Over price for a lunch menu, including the lunch specials(be smart.",price,negative,TRAINU_00981_001
"(dissapointed) Over price for a lunch menu, including the lunch specials(be smart.",menu,neutral,TRAINU_00981_002
"(dissapointed) Over price for a lunch menu, including the lunch specials(be smart.",food,neutral,TRAINU_00981_003
Noodle soup quantities are huge - so don't go for the rest of the menu - the rest are at par with the rest of Chinatown.,food,negative,TRAINU_00982_001
Noodle soup quantities are huge - so don't go for the rest of the menu - the rest are at par with the rest of Chinatown.,menu,neutral,TRAINU_00982_002
If the food is out of your price range then at least go for happy hour for a drink - although the drinks cost a bit more then the average happy hour bar after you receive one you would agree that it is worth it.,place,neutral,TRAINU_00983_002
"Beautiful rooms filled with beautiful people, but expensive for what it is ($68 prix fixe), limited menu, tiny portions, reeeeeeeally slow service, undercooked potatoes with the cod, less than fascinating desserts.",price,negative,TRAINU_00984_001
"Beautiful rooms filled with beautiful people, but expensive for what it is ($68 prix fixe), limited menu, tiny portions, reeeeeeeally slow service, undercooked potatoes with the cod, less than fascinating desserts.",miscellaneous,negative,TRAINU_00984_002
"Beautiful rooms filled with beautiful people, but expensive for what it is ($68 prix fixe), limited menu, tiny portions, reeeeeeeally slow service, undercooked potatoes with the cod, less than fascinating desserts.",service,negative,TRAINU_00984_003
Mango ice cream or coffee-flavored gelatin finishes the flavorful journey.,food,positive,TRAINU_00985_001
Mango ice cream or coffee-flavored gelatin finishes the flavorful journey.,miscellaneous,positive,TRAINU_00985_002
"In the middle of dessert, the waitress silently passes by and drops the check.",food,neutral,TRAINU_00986_001
"In the middle of dessert, the waitress silently passes by and drops the check.",staff,negative,TRAINU_00986_002
I especially love the korean dish's they add into there menu consider its 2 for 1 its hard not to resist with asian cuisine being so expensive in all in New York.,food,positive,TRAINU_00987_001
I especially love the korean dish's they add into there menu consider its 2 for 1 its hard not to resist with asian cuisine being so expensive in all in New York.,menu,neutral,TRAINU_00987_002
"Even as a stranger, the service at the bar was excellent as was the wait staff who continuously checked back to see if I was okay while waiting for my party.",service,positive,TRAINU_00988_001
"Even as a stranger, the service at the bar was excellent as was the wait staff who continuously checked back to see if I was okay while waiting for my party.",place,neutral,TRAINU_00988_002
"Even as a stranger, the service at the bar was excellent as was the wait staff who continuously checked back to see if I was okay while waiting for my party.",staff,positive,TRAINU_00988_003
The spaghetti with ricotta cheese is hands down my favorite thing on the menu and I am big fan of the house wine.,food,positive,TRAINU_00989_001
The spaghetti with ricotta cheese is hands down my favorite thing on the menu and I am big fan of the house wine.,menu,neutral,TRAINU_00989_002
The waiter brought the wrong food and charged us for food and drinks we didn't order.,staff,negative,TRAINU_00990_001
The waiter brought the wrong food and charged us for food and drinks we didn't order.,food,neutral,TRAINU_00990_002
The two vegetarian dishes on the menu were just an afterthought--why did they even bother?,menu,neutral,TRAINU_00991_002
"Overall, cute place with poor service, and even worse food.",place,positive,TRAINU_00992_001
"Overall, cute place with poor service, and even worse food.",food,negative,TRAINU_00992_002
"Overall, cute place with poor service, and even worse food.",service,negative,TRAINU_00992_003
"Expect a crowd while waiting, but they seat quickly.",service,negative,TRAINU_00993_002
There are some reviews complaining about the menu but I had the same dish the first three times that I was there - and any specials that I have had have been excellent.,menu,neutral,TRAINU_00994_001
There are some reviews complaining about the menu but I had the same dish the first three times that I was there - and any specials that I have had have been excellent.,food,positive,TRAINU_00994_002
"With a chef from Liguria, Italy, authentic Neapolitan brick oven pizza and one of the most impressive Italian wine lists I've ever seen, this was the real deal!",food,positive,TRAINU_00995_003
"Aside from that, the service is adequate (visible, and will help you if you ask, but lack initiative), and the food, well, could be a lot worse.",service,positive,TRAINU_00996_001
"The mussels and frits were great, but the host had an attitude and my friends and I waited about 1 1/2 hours to be seated on a random Tues.",food,positive,TRAINU_00997_001
"The mussels and frits were great, but the host had an attitude and my friends and I waited about 1 1/2 hours to be seated on a random Tues.",staff,negative,TRAINU_00997_002
"When I tried getting a lunch order delivered, I was told I was out of the delivery range (strange since I am also located in the East Village).",food,neutral,TRAINU_00998_001
"When I tried getting a lunch order delivered, I was told I was out of the delivery range (strange since I am also located in the East Village).",miscellaneous,neutral,TRAINU_00998_002
"The food here is consistently good - the service is not - but it seems that they're getting busier than they can handle, good for them, bad for guests.",food,positive,TRAINU_00999_001
"The food here is consistently good - the service is not - but it seems that they're getting busier than they can handle, good for them, bad for guests.",service,negative,TRAINU_00999_002
"The service was good, but not excellent; however, the waiter was initially huffy with me when my guest was only 5 minutes late, threatening to make me move!",service,positive,TRAINU_01001_001
"The service was good, but not excellent; however, the waiter was initially huffy with me when my guest was only 5 minutes late, threatening to make me move!",staff,negative,TRAINU_01001_002
"From making the reservation (not required) to the before dinner drink (cava), to the table (romantic), to the the ambiance (candles, spanish antiques, etc) to the food of course (original, incredibly deep and rich in flavor) to our departure and saying goodnight to the waiter.",miscellaneous,neutral,TRAINU_01003_001
"From making the reservation (not required) to the before dinner drink (cava), to the table (romantic), to the the ambiance (candles, spanish antiques, etc) to the food of course (original, incredibly deep and rich in flavor) to our departure and saying goodnight to the waiter.",food,neutral,TRAINU_01003_003
"Having just returned from Bourbon Street, I thought I had experienced the steepest drink prices in the US, but this is worse than N'awlins, where at least the expensive drinks cover wonderful live music.",ambience,negative,TRAINU_01004_002
"The waiters can shoot off a 5 minute long list of specials, and they know the menu very well.",menu,neutral,TRAINU_01005_002
"The basil pepper mojito was a little daunting in concept, but I was refreshed at the flavor.",food,positive,TRAINU_01006_001
"Also, try to get a seat at the main bar, because I sat at the smaller bar by the entrance and it was getting so crowded with people waiting that it became a bit unpleasant towards to end of the meal.",place,neutral,TRAINU_01007_002
"Also, try to get a seat at the main bar, because I sat at the smaller bar by the entrance and it was getting so crowded with people waiting that it became a bit unpleasant towards to end of the meal.",service,negative,TRAINU_01007_003
"Also, try to get a seat at the main bar, because I sat at the smaller bar by the entrance and it was getting so crowded with people waiting that it became a bit unpleasant towards to end of the meal.",food,neutral,TRAINU_01007_004
The waiter came back after I had finished my appetizer to correct himself and let me know that it wasn't vegetarian (chicken stock) after all.,staff,negative,TRAINU_01008_001
The waiter came back after I had finished my appetizer to correct himself and let me know that it wasn't vegetarian (chicken stock) after all.,food,neutral,TRAINU_01008_002
The waiter seemed astounded that I ordered no wine or alcohol -- just water -- with my meal.,staff,negative,TRAINU_01009_001
The waiter seemed astounded that I ordered no wine or alcohol -- just water -- with my meal.,food,neutral,TRAINU_01009_002
"The rest of the meal was good, but a little over priced for Chinese take out style food.",price,negative,TRAINU_01010_001
"The rest of the meal was good, but a little over priced for Chinese take out style food.",food,positive,TRAINU_01010_002
"Fresh fish, tender milk fed veal and outrageous Veal Chops adorn their menu and special list.",food,positive,TRAINU_01011_001
"Fresh fish, tender milk fed veal and outrageous Veal Chops adorn their menu and special list.",menu,neutral,TRAINU_01011_002
"Fresh fish, tender milk fed veal and outrageous Veal Chops adorn their menu and special list.",miscellaneous,positive,TRAINU_01011_003
"We had to ask for water even after we were asked what type we preferred, and then the busboy spilled it while he was pouring it out.",food,neutral,TRAINU_01012_001
"We had to ask for water even after we were asked what type we preferred, and then the busboy spilled it while he was pouring it out.",staff,negative,TRAINU_01012_002
"Apparently, the waitress informed us that they change the menu at 5 Ninth every few days, which kind of explains the hit or miss situation.",staff,negative,TRAINU_01013_001
"Apparently, the waitress informed us that they change the menu at 5 Ninth every few days, which kind of explains the hit or miss situation.",menu,neutral,TRAINU_01013_002
I love the complimentary hot salsa and fresh chips that they put on the table !,food,positive,TRAINU_01014_001
I love the complimentary hot salsa and fresh chips that they put on the table !,miscellaneous,neutral,TRAINU_01014_002
"Specialty drinks--alcoholic and non--arrive in skull mugs or mini-canteens, nifty take-home souvenirs.",food,positive,TRAINU_01015_001
